ABRD,Абрау-Дюрсо ПАО ао,ABRD,205.5
ACKO,АСКО-СТРАХОВАНИЕ ПАО ао,ACKO,6.14
AFKS,"АФК ""Система"" ПАО ао",AFKS,35.599
AFLT,Аэрофлот-росс.авиалин(ПАО)ао,AFLT,64.5
AGRO,ГДР ROS AGRO PLC ORD SHS,AGRO,892.6
AKRN,Акрон ПАО ао,AKRN,6150.0
ALBK,Бест Эффортс Банк ПАО ао,ALBK,61.0
ALNU,АЛРОСА-Нюрба ПАО ао,ALNU,63600.0
ALRS,АЛРОСА ПАО ао,ALRS,110.05
AMEZ, Ашинский метзавод ПАО ао,AMEZ,9.7
APTK,"ПАО ""Аптечная сеть 36,6"" ао",APTK,13.744
AQUA,Русская Аквакультура ПАО ао,AQUA,302.5
ARSA,УК Арсагера ПАО-ао,ARSA,4.64
ASSB,"""Астраханская ЭСК"" ПАО",ASSB,1.1345
AVAN,"АКБ ""АВАНГАРД"" ПАО ао",AVAN,1175.0
BANE,Башнефть АНК ао,BANE,1592.5
BANEP,Башнефть АНК ап,BANEP,1181.5
BELU,Белуга Групп ПАО ао,BELU,3528.0
BISV,Башинформсвязь(ПАО) ао,BISV,8.7
BISVP,Башинформсвязь(ПАО) ап,BISVP,9.41
BLNG,Белон ОАО ао,BLNG,6.884
BRZL,Бурятзолото ПАО ао,BRZL,1178.0
BSPB,"ПАО ""Банк ""Санкт-Петербург"" ао",BSPB,64.74
BSPBP,Банк Санкт-Петербург ап,BSPBP,6.6664
CBOM,"""МКБ"" ПАО ао",CBOM,6.97
CHEP,"""ЧТПЗ"" ПАО ао",CHEP,312.0
CHGZ,РН-Западная Сибирь ПАО ао,CHGZ,42.8
CHKZ,"""ЧКПЗ"" ПАО ао",CHKZ,5840.0
CHMF,Северсталь (ПАО)ао,CHMF,1873.0
CHMK,"""ЧМК"" ПАО ао",CHMK,4260.0
CNTL,"""Центральный Телеграф"" ПАО ао",CNTL,16.94
CNTLP,"""Центральный Телеграф"" ПАО ап",CNTLP,13.78
DERZP,Держава ап,DERZP,
DIOD,Завод ДИОД ПАО ао,DIOD,7.07
DSKY,ПАО Детский мир,DSKY,151.54
DVEC,"""ДЭК"" ПАО ао",DVEC,0.794
DZRD,Донской завод радиодеталей ао,DZRD,2190.0
DZRDP,Донской завод радиодеталей ап,DZRDP,1890.0
EELT,"""ЕвропЭлектротехника"" ПАО ао",EELT,7.78
ELTZ,Электроцинк ПАО ао,ELTZ,180.0
ENPG,МКПАО ЭН+ ГРУП ао,ENPG,900.0
ENRU,"""Энел Россия"" ПАО",ENRU,0.799
ETLN,ГДР ETALON GROUP PLC ORD SHS,ETLN,125.98
FEES,"""ФСК ЕЭС"" ПАО ао",FEES,0.2145
FESH,ДВ морское пароходство ПАО ао,FESH,15.4
FIVE,ГДР X5 RetailGroup N.V.ORD SHS,FIVE,2384.0
FIXP,ГДР FixPrice Group Ltd ORD SHS,FIXP,730.0
FLOT,Совкомфлот ао,FLOT,89.5
GAZA,ГАЗ ПАО ао,GAZA,455.5
GAZAP,ГАЗ ПАО ап,GAZAP,370.0
GAZC,ГАЗКОН (ПАО) ао,GAZC,295.0
GAZP,"""Газпром"" (ПАО) ао",GAZP,231.62
GAZS,ГАЗ-сервис (ПАО) ао,GAZS,293.0
GAZT,ГАЗ-Тек ПАО ао,GAZT,85.0
GCHE,Группа Черкизово ПАО-ао,GCHE,2203.0
GEMA,ПАО ММЦБ ао,GEMA,659.0
GLTR,ГДР Globaltrans Invest ORD SHS,GLTR,479.0
