ABRD,Абрау-Дюрсо ПАО ао,ABRD,200.0
ACKO,АСКО-СТРАХОВАНИЕ ПАО ао,ACKO,6.1
AFKS,"АФК ""Система"" ПАО ао",AFKS,34.01
AFLT,Аэрофлот-росс.авиалин(ПАО)ао,AFLT,65.56
AGRO,ГДР ROS AGRO PLC ORD SHS,AGRO,914.8
AKRN,Акрон ПАО ао,AKRN,6010.0
ALBK,Бест Эффортс Банк ПАО ао,ALBK,60.0
ALNU,АЛРОСА-Нюрба ПАО ао,ALNU,65200.0
ALRS,АЛРОСА ПАО ао,ALRS,113.27
AMEZ, Ашинский метзавод ПАО ао,AMEZ,9.985
APTK,"ПАО ""Аптечная сеть 36,6"" ао",APTK,13.814
AQUA,Русская Аквакультура ПАО ао,AQUA,292.0
ARSA,УК Арсагера ПАО-ао,ARSA,4.99
ASSB,"""Астраханская ЭСК"" ПАО",ASSB,1.1275
AVAN,"АКБ ""АВАНГАРД"" ПАО ао",AVAN,1105.0
BANE,Башнефть АНК ао,BANE,1544.5
BANEP,Башнефть АНК ап,BANEP,1182.5
BELU,Белуга Групп ПАО ао,BELU,3620.0
BISV,Башинформсвязь(ПАО) ао,BISV,8.7
BISVP,Башинформсвязь(ПАО) ап,BISVP,9.09
BLNG,Белон ОАО ао,BLNG,6.97
BRZL,Бурятзолото ПАО ао,BRZL,1344.0
BSPB,"ПАО ""Банк ""Санкт-Петербург"" ао",BSPB,70.0
BSPBP,Банк Санкт-Петербург ап,BSPBP,15.6592
CBOM,"""МКБ"" ПАО ао",CBOM,6.598
CHEP,"""ЧТПЗ"" ПАО ао",CHEP,313.5
CHGZ,РН-Западная Сибирь ПАО ао,CHGZ,43.2
CHKZ,"""ЧКПЗ"" ПАО ао",CHKZ,5900.0
CHMF,Северсталь (ПАО)ао,CHMF,1751.6
CHMK,"""ЧМК"" ПАО ао",CHMK,4120.0
CNTL,"""Центральный Телеграф"" ПАО ао",CNTL,16.3
CNTLP,"""Центральный Телеграф"" ПАО ап",CNTLP,13.0
DERZP,Держава ап,DERZP,
DIOD,Завод ДИОД ПАО ао,DIOD,7.35
DSKY,ПАО Детский мир,DSKY,155.44
DVEC,"""ДЭК"" ПАО ао",DVEC,0.802
DZRD,Донской завод радиодеталей ао,DZRD,2115.0
DZRDP,Донской завод радиодеталей ап,DZRDP,1900.0
EELT,"""ЕвропЭлектротехника"" ПАО ао",EELT,7.44
ELTZ,Электроцинк ПАО ао,ELTZ,170.5
ENPG,МКПАО ЭН+ ГРУП ао,ENPG,920.5
ENRU,"""Энел Россия"" ПАО",ENRU,0.7728
ETLN,ГДР ETALON GROUP PLC ORD SHS,ETLN,121.94
FEES,"""ФСК ЕЭС"" ПАО ао",FEES,0.21898
FESH,ДВ морское пароходство ПАО ао,FESH,14.78
FIVE,ГДР X5 RetailGroup N.V.ORD SHS,FIVE,2391.5
FIXP,ГДР FixPrice Group Ltd ORD SHS,FIXP,698.2
FLOT,Совкомфлот ао,FLOT,88.75
