ABRD,Абрау-Дюрсо ПАО ао,ABRD,201.5
ACKO,АСКО-СТРАХОВАНИЕ ПАО ао,ACKO,6.04
AFKS,"АФК ""Система"" ПАО ао",AFKS,33.678
AFLT,Аэрофлот-росс.авиалин(ПАО)ао,AFLT,65.64
AGRO,ГДР ROS AGRO PLC ORD SHS,AGRO,915.0
AKRN,Акрон ПАО ао,AKRN,5964.0
ALBK,Бест Эффортс Банк ПАО ао,ALBK,60.5
ALNU,АЛРОСА-Нюрба ПАО ао,ALNU,65000.0
ALRS,АЛРОСА ПАО ао,ALRS,114.26
AMEZ, Ашинский метзавод ПАО ао,AMEZ,9.95
APTK,"ПАО ""Аптечная сеть 36,6"" ао",APTK,13.828
AQUA,Русская Аквакультура ПАО ао,AQUA,297.5
ARSA,УК Арсагера ПАО-ао,ARSA,5.0
ASSB,"""Астраханская ЭСК"" ПАО",ASSB,1.133
AVAN,"АКБ ""АВАНГАРД"" ПАО ао",AVAN,1115.0
BANE,Башнефть АНК ао,BANE,1551.0
BANEP,Башнефть АНК ап,BANEP,1200.5
BELU,Белуга Групп ПАО ао,BELU,3620.0
BISV,Башинформсвязь(ПАО) ао,BISV,8.7
BISVP,Башинформсвязь(ПАО) ап,BISVP,9.21
BLNG,Белон ОАО ао,BLNG,6.945
BRZL,Бурятзолото ПАО ао,BRZL,1338.0
BSPB,"ПАО ""Банк ""Санкт-Петербург"" ао",BSPB,70.5
BSPBP,Банк Санкт-Петербург ап,BSPBP,17.216
CBOM,"""МКБ"" ПАО ао",CBOM,6.779
CHEP,"""ЧТПЗ"" ПАО ао",CHEP,314.5
CHGZ,РН-Западная Сибирь ПАО ао,CHGZ,43.0
CHKZ,"""ЧКПЗ"" ПАО ао",CHKZ,5900.0
CHMF,Северсталь (ПАО)ао,CHMF,1826.0
CHMK,"""ЧМК"" ПАО ао",CHMK,4210.0
CNTL,"""Центральный Телеграф"" ПАО ао",CNTL,16.16
CNTLP,"""Центральный Телеграф"" ПАО ап",CNTLP,12.96
DERZP,Держава ап,DERZP,
DIOD,Завод ДИОД ПАО ао,DIOD,7.29
DSKY,ПАО Детский мир,DSKY,154.8
DVEC,"""ДЭК"" ПАО ао",DVEC,0.8
DZRD,Донской завод радиодеталей ао,DZRD,2105.0
DZRDP,Донской завод радиодеталей ап,DZRDP,1930.0
EELT,"""ЕвропЭлектротехника"" ПАО ао",EELT,7.5
ELTZ,Электроцинк ПАО ао,ELTZ,173.0
ENPG,МКПАО ЭН+ ГРУП ао,ENPG,924.5
ENRU,"""Энел Россия"" ПАО",ENRU,0.7804
ETLN,ГДР ETALON GROUP PLC ORD SHS,ETLN,122.22
FEES,"""ФСК ЕЭС"" ПАО ао",FEES,0.21956
FESH,ДВ морское пароходство ПАО ао,FESH,14.79
FIVE,ГДР X5 RetailGroup N.V.ORD SHS,FIVE,2372.5
FIXP,ГДР FixPrice Group Ltd ORD SHS,FIXP,691.4
FLOT,Совкомфлот ао,FLOT,88.99
GAZA,ГАЗ ПАО ао,GAZA,460.5
GAZAP,ГАЗ ПАО ап,GAZAP,362.5
GAZC,ГАЗКОН (ПАО) ао,GAZC,295.0
GAZP,"""Газпром"" (ПАО) ао",GAZP,241.51
GAZS,ГАЗ-сервис (ПАО) ао,GAZS,293.0
GAZT,ГАЗ-Тек ПАО ао,GAZT,85.0
GCHE,Группа Черкизово ПАО-ао,GCHE,2262.5
GEMA,ПАО ММЦБ ао,GEMA,685.0
GLTR,ГДР Globaltrans Invest ORD SHS,GLTR,462.1
GMKN,"ГМК ""Нор.Никель"" ПАО ао",GMKN,27058.0
GTRK,"ПАО ""ГТМ"" ао",GTRK,35.85
GTSS,ГЕОТЕК Сейсморазведка ПАО ао,GTSS,
HALS,"ПАО ""СГ-Девелопмент""",HALS,961.0
HHRU,АДР HeadHunter Group ORD SHS,HHRU,3110.5
HIMC,Химпром ПАО ао,HIMC,0.99
HIMCP,Химпром ПАО ап,HIMCP,8.09
HYDR,"ПАО ""РусГидро""",HYDR,0.8437
IGST,Ижсталь ПАО ао 2в.,IGST,1120.0
IGSTP,Ижсталь ПАО ап,IGSTP,1085.0
INGR,ИНГРАД ПАО ао,INGR,1603.0
IRAO,"""Интер РАО"" ПАО ао",IRAO,5.11
